Year,energy_comsumption_per_capita,Food supply (kg per capita per year),Mean cumulative mass balance,GDP Per Capita_x,GDP Per Capita_y
2020,2.1872124131568295e-05,4830.553767783,,10895.74,10895.74
2019,2.285526325052151e-05,4781.792907583,,11330.45,11330.45
2018,2.2871139760376915e-05,4839.678961144,,11290.1,11290.1
2017,2.255449653889762e-05,4776.888275,,10746.86,10746.86
2016,2.237554668831338e-05,4786.087762407,,10208.87,10208.87
2015,2.238274018496703e-05,4723.255311192,,10156.95,10156.95
2014,2.2484698162678373e-05,4750.954142549,-28.652,10898.72,10898.72
2013,2.2545102628481653e-05,4746.7270141,-27.817,10738.32,10738.32
2012,2.246878759413524e-05,4760.782999997,-26.93,10575.66,10575.66
2011,2.2459671713297323e-05,4716.400510844,-26.294,10473.74,10473.74
2010,2.2280650769002976e-05,4720.548749073,-25.158,9558.02,9558.02
2009,2.1619388728789556e-05,4559.175723983,-24.459,8832.3,8832.3
2008,2.222288168279792e-05,4551.222316828,-23.776,9429.27,9429.27
2007,2.227340434730959e-05,4516.51128461,-23.255,8687.43,8687.43
2006,2.1954284677170885e-05,4511.86873883,-22.595,7805.61,7805.61
2005,2.1688200027059172e-05,4498.494126716,-21.405,7293.72,7293.72
2004,2.1343789536871922e-05,4536.070595475,-20.703,6820.3,6820.3
2003,2.0720447870711937e-05,4514.20185879,-19.984,6129.1,6129.1
2002,2.0361624210522125e-05,4442.3360516245,-18.726,5536.51,5536.51
2001,2.024198677724742e-05,4441.541713956,-18.032,5401.4,5401.4
2000,2.0323375869438064e-05,4426.845839474,-17.727,5508.43,5508.43
1999,2.0109969585392606e-05,4339.406704722,-17.697,5402.58,5402.58
1998,2.0037138845506467e-05,4357.454475079,-17.31,5276.64,5276.64
1997,2.0170993378790035e-05,4375.109106199,-16.487,5364.55,5364.55
1996,2.0239530948940688e-05,4409.23316048,-15.89,5462.49,5462.49
1995,1.9995406848493176e-05,4446.14694523,-15.486,5422.2,5422.2
1994,1.9859404002248658e-05,4396.046163304,-15.276,4944.94,4944.94
1993,1.9903709247904272e-05,4378.474316334,-14.695,4662.17,4662.17
1992,2.0038459107669447e-05,4235.53641284,-14.501,4658.73,4658.73
1991,2.0225849264995446e-05,4051.71181217,-14.255,4428.11,4428.11
1990,2.040562371666574e-05,4033.32322415,-13.687,4318.91,4318.91
1989,2.0500661102047946e-05,4059.6390521519997,-13.343,3895.5,3895.5
1988,2.0489483337147815e-05,4035.6067343629998,-13.26,3792.79,3792.79
1987,2.017873593301302e-05,4034.79678281,-12.795,3457.79,3457.79
1986,1.9924410185381613e-05,4088.6790404030003,-12.782,3090.05,3090.05
1985,1.9879682582531083e-05,4028.734070628,-12.238,2659.17,2659.17
1984,1.9772661579945188e-05,3878.822881104,-11.902,2582.87,2582.87
1983,1.93119163256457e-05,3884.167765258,-11.846,2527.38,2527.38
1982,1.936174956005297e-05,3849.8595288025,-11.849,2522.47,2522.47
1981,1.977333365602543e-05,3873.032618818,-11.394,2594.26,2594.26
1980,2.0172006113482173e-05,3893.2902742525,-11.318,2552.06,2552.06
1979,2.0671094391568816e-05,3855.429619295,-11.127,2302.88,2302.88
1978,2.041417550695257e-05,3810.032263764,-10.754,2025.85,2025.85
1977,2.0062162213570632e-05,3772.698792277,-10.682,1743.37,1743.37
1976,1.9786021320095906e-05,3820.001681001,-10.633,1568.57,1568.57
1975,1.9262211879724767e-05,3815.608441388,-10.534,1468.78,1468.78
1974,1.9533857078105564e-05,3756.778771219,-10.613,1343.08,1343.08
1973,1.9790656008438318e-05,3710.19577217,-10.538,1188.12,1188.12
1972,1.921870488788371e-05,3710.024949312,-10.441,993.03,993.03
1971,1.8748866353480045e-05,3729.34693044,-10.288,878.59,878.59
1970,1.8483999620514015e-05,3738.400184326,-10.128,812.22,812.22
1969,1.790734684503142e-05,3836.963968848,-9.732,758.18,758.18
1968,1.731681589074791e-05,3791.708650656,-9.219,701.85,701.85
1967,1.6839931672952626e-05,3851.172038902,-9.303,663.88,663.88
1966,1.6669205081102442e-05,3765.534600478,-9.436,636.79,636.79
1965,1.6299897250633188e-05,3807.121052833,-9.298,599.15,599.15
